,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Taxa
ASV_702,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,NA,Chlorophyta
ASV_703,Eukaryota,TSAR,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_X_sp.,Rhizaria
ASV_704,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_705,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Entomophthoromycotina,Entomophthoromycotina_X,Conidiobolus,Conidiobolus_coronatus,Opisthokonta_Zoopagomycota
ASV_706,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Pandorina,Pandorina_colemaniae,Chlorophyta
ASV_707,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_708,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorococcum,NA,Chlorophyta
ASV_709,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozella,Rozella_multimorpha,Opisthokonta_Rozellomycota
ASV_710,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_711,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_712,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,Spizellomycetales_X,Spizellomycetales_XX,Spizellomycetales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_713,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,Spizellomycetales_X,Spizellomycetales_XX,Spizellomycetales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_714,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Sanionia,Sanionia_uncinata,Streptophyta
ASV_715,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_716,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Ulvophyceae,Ulotrichales,Ulotrichales_X,Trichosarcina,Trichosarcina_polymorpha,Chlorophyta
ASV_717,Eukaryota,TSAR,Rhizaria,Rhizaria_X,Rhizaria_XX,Aquavolonida,Aquavolonida_X,Aquavolon,Aquavolon_dientrani,Rhizaria
ASV_718,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera,Cryptophyta
ASV_719,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_720,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eudiaptomus,Eudiaptomus_graciloides,Opisthokonta_Arthropoda
ASV_721,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Skistodiaptomus,NA,Opisthokonta_Arthropoda
ASV_722,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Saprolegniales_X,Saprolegniales_X_sp.,Stramenopiles
ASV_723,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eudiaptomus,Eudiaptomus_graciloides,Opisthokonta_Arthropoda
ASV_724,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Oocystella,Oocystella_oogama,Chlorophyta
ASV_725,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Desmodesmus_pannonicus,Chlorophyta
ASV_726,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Tremulida,Tremulidae,Tremula,Tremula_longifila,Rhizaria
ASV_727,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_728,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,NA,NA,Opisthokonta_Ascomycota
ASV_729,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Prasiolales,Prasiolales_X,Koliella,Koliella_spiculiformis,Chlorophyta
ASV_730,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Protodesmus,Protodesmus_globulifer,Chlorophyta
ASV_731,Eukaryota,TSAR,Rhizaria,Cercozoa,NA,NA,NA,NA,NA,Rhizaria
ASV_732,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera,Cryptophyta
ASV_733,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Stauridium,Stauridium_privum,Chlorophyta
ASV_734,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Desmodesmus_pannonicus,Chlorophyta
ASV_735,Eukaryota,TSAR,Stramenopiles,Gyrista,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pseudopedinella,Pseudopedinella_sp.,Stramenopiles
ASV_736,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_env_clade-I,Chrysophyceae_env_clade-I_X,Chrysophyceae_env_clade-I_XX,Chrysophyceae_env_clade-I_XX_sp.,Stramenopiles
ASV_737,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Closterium,Closterium_gracile,Streptophyta
ASV_738,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,Opisthokonta_Arthropoda
ASV_739,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,NA,NA,NA,Stramenopiles
ASV_740,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_741,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,NA,NA,NA,Opisthokonta_Ascomycota
ASV_742,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Glissomonadida,NA,NA,NA,Rhizaria
ASV_743,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_744,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,NA,NA,NA,Stramenopiles
ASV_745,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_746,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,NA,NA,NA,NA,Chlorophyta
ASV_747,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_748,Eukaryota,TSAR,Stramenopiles,Gyrista,NA,NA,NA,NA,NA,Stramenopiles
ASV_749,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Chytridiales,Chytridiaceae,Chytridium,Chytridium_polysiphoniae,Opisthokonta_Chytridiomycota
ASV_750,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Glissomonadida,Allapsidae,NA,NA,Rhizaria
ASV_751,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,NA,NA,NA,NA,Opisthokonta_Basidiomycota
ASV_752,Eukaryota,TSAR,Stramenopiles,Gyrista,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,NA,NA,Stramenopiles
ASV_753,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Cosmarium,Cosmarium_punctulatum,Streptophyta
ASV_754,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,Haptophyta
ASV_755,Eukaryota,Obazoa,Opisthokonta,NA,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_756,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Monoblepharidales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_757,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas_stipitata,Stramenopiles
ASV_758,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorococcum,Chlorococcum_aquaticum,Chlorophyta
ASV_759,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Pansomonadida,Agitatidae,Agitatidae_X,Agitatidae_X_sp.,Rhizaria
ASV_760,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_761,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_762,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12C,MAST-12C_sp.,Stramenopiles
ASV_763,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Botryococcus,Botryococcus_terribilis,Chlorophyta
ASV_764,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_765,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlorophyceae_X,Chlorophyceae_XX,Treubaria,NA,Chlorophyta
ASV_766,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eudiaptomus,Eudiaptomus_graciloides,Opisthokonta_Arthropoda
ASV_767,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_768,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_769,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Raphidocelis,Raphidocelis_subcapitata,Chlorophyta
ASV_770,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_771,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera,Cryptophyta
ASV_772,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_env_clade-I,Chrysophyceae_env_clade-I_X,Chrysophyceae_env_clade-I_XX,Chrysophyceae_env_clade-I_XX_sp.,Stramenopiles
ASV_773,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_774,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_775,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Chlamydophryidae,Lecythium,Lecythium_hyalinum,Rhizaria
ASV_776,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Nais,Nais_communis,Opisthokonta_Annelida
ASV_777,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_778,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Craspedida,Monosigidae_Group_O,Monosigidae_Group_O_X,Monosigidae_Group_O_X_sp.,Opisthokonta_Choanoflagellatea
ASV_779,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_adusta,Opisthokonta_Arthropoda
ASV_780,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,Penicillium_solitum,Opisthokonta_Ascomycota
ASV_781,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12_X,MAST-12_X_sp.,Stramenopiles
ASV_782,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Exobasidiomycetes_X,Exobasidiomycetes_X_sp.,Opisthokonta_Basidiomycota
ASV_783,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_784,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C1,Salpingoecidae_Group_C1_X,Salpingoecidae_Group_C1_X_sp.,Opisthokonta_Choanoflagellatea
ASV_785,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Paramonas,Paramonas_globosa,Stramenopiles
ASV_786,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Botryococcus,Botryococcus_terribilis,Chlorophyta
ASV_787,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_788,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_789,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_vietnamica,Cryptophyta
ASV_790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_791,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera,Cryptophyta
ASV_792,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_793,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema_affine,Stramenopiles
ASV_794,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_795,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_796,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_797,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_798,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Nanomonadea,MAST-3,MAST-3J,MAST-3J_sp.,Stramenopiles
ASV_799,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Codosiga,Codosiga_botrytis,Opisthokonta_Choanoflagellatea
ASV_800,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,NA,NA,Opisthokonta_Basidiomycota
ASV_801,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_802,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_803,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Watanabea-Clade,Watanabea-Clade_X,Chloroidium,Chloroidium_saccharophila,Chlorophyta
ASV_804,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_805,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Craspedida,NA,NA,NA,Opisthokonta_Choanoflagellatea
ASV_806,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Gonium,Gonium_pectorale,Chlorophyta
ASV_807,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_808,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Phaeosphaeria,Phaeosphaeria_avenaria,Opisthokonta_Ascomycota
ASV_809,Eukaryota,Obazoa,Opisthokonta,Fungi,Monoblepharomycota,Sanchytriales,Sanchytriaceae,Sanchytrium,Sanchytrium_tribonematis,Opisthokonta_Monoblepharomycota
ASV_810,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
ASV_811,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella_bodanica,Stramenopiles
ASV_812,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Botryococcus,Botryococcus_terribilis,Chlorophyta
ASV_813,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Collembola,NA,NA,Opisthokonta_Arthropoda
ASV_814,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,Urocystis,Urocystis_colchici,Opisthokonta_Basidiomycota
ASV_815,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,Chaetonotus_hystrix,Opisthokonta_Gastrotricha
ASV_816,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Bosmina,Bosmina_longirostris,Opisthokonta_Arthropoda
ASV_817,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_818,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_vulgaris,Stramenopiles
ASV_819,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Pandorina,Pandorina_colemaniae,Chlorophyta
ASV_820,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Cercomonadida,Paracercomonadidae,Paracercomonas,Paracercomonas_crassicauda,Rhizaria
ASV_821,Eukaryota,Obazoa,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Catenulida,Stenostomum,Stenostomum_leucops,Opisthokonta_Platyhelminthes
ASV_822,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Darwinula,Darwinula_stevensoni,Opisthokonta_Arthropoda
ASV_823,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_824,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_825,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Novel-clade-10,Novel-clade-10_X,Novel-clade-10_XX,Novel-clade-10_XX_sp.,Rhizaria
ASV_826,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_827,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
ASV_828,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Pansomonadida,Agitatidae,Agitatidae_X,Agitatidae_X_sp.,Rhizaria
ASV_829,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Oocystella,Oocystella_oogama,Chlorophyta
ASV_830,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_831,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_832,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Peronosporales_X,Peronosporales_X_sp.,Stramenopiles
ASV_833,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_834,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_835,Eukaryota,TSAR,Stramenopiles,Gyrista,Synchromophyceae,Synchromophyceae_X,Synchromophyceae_XX,Synchromophyceae_XXX,Synchromophyceae_XXX_sp.,Stramenopiles
ASV_836,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,NA,NA,NA,Stramenopiles
ASV_837,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadales_clade-XII,Ochromonadales_clade-XII_X,Ochromonadales_clade-XII_X_sp.,Stramenopiles
ASV_838,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,NA,NA,Opisthokonta_Ascomycota
ASV_839,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,NA,NA,Opisthokonta_Basidiomycota
ASV_840,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Hafniomonas,Hafniomonas_reticulata,Chlorophyta
ASV_841,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Brachypodium,Brachypodium_distachyon,Streptophyta
ASV_842,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_XX_Group_P,Choanoflagellatea_XXX_Group_P_X,Choanoflagellatea_XXX_Group_P_X_sp.,Opisthokonta_Choanoflagellatea
ASV_843,Eukaryota,Obazoa,Opisthokonta,NA,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_844,Eukaryota,TSAR,Stramenopiles,Gyrista,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Characiopsis,NA,Stramenopiles
ASV_845,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_846,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eucyclops,Eucyclops_serrulatus,Opisthokonta_Arthropoda
ASV_847,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Darwinula,Darwinula_stevensoni,Opisthokonta_Arthropoda
ASV_848,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_849,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Novel-clade-10,Novel-clade-10_X,Novel-clade-10_XX,Novel-clade-10_XX_sp.,Rhizaria
ASV_850,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Chytridiales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_851,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Cladochytriales,Cladochytriaceae,Cladochytrium,Cladochytrium_replicatum,Opisthokonta_Chytridiomycota
ASV_852,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Neocallimastigales,Neocallimastigaceae,NA,NA,Opisthokonta_Chytridiomycota
ASV_853,Eukaryota,TSAR,Stramenopiles,Gyrista,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Vacuoliviride,Vacuoliviride_crystalliferum,Stramenopiles
ASV_854,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Atractomorpha,Atractomorpha_echinata,Chlorophyta
ASV_855,Eukaryota,Obazoa,Opisthokonta,Fungi,Monoblepharomycota,Sanchytriales,Sanchytriaceae,Sanchytrium,Sanchytrium_tribonematis,Opisthokonta_Monoblepharomycota
ASV_856,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_857,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_858,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudomuriella,Pseudomuriella_engadinensis,Chlorophyta
ASV_859,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozella,Rozella_allomycis,Opisthokonta_Rozellomycota
ASV_860,Eukaryota,TSAR,Stramenopiles,Gyrista,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pseudopedinella,Pseudopedinella_sp.,Stramenopiles
ASV_861,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
